source_id,source_short_title,source_title,p_issn,e_issn,status,coverage,lang,2015cs,2015sjr,2015snip,2016cs,2016sjr,2016snip,2017cs,2017sjr,2017snip,medline_source,oa_status,inpress_art,add_april2018,source_type,title_hist,rel_title_hist,other1,other2,other3,pub_name,pub_group_short,pub_group,pub_country,class_code,top_class_life,top_class_social,topclassif_physics,top_classif_physics,top_classif_general,agri_bio,arts_human,biochem_gen_mol,business_man_acc,chem_eng,chem,comp,decision,earth_planet,econ_fin,energy,eng,enviro,immun_micro,material,math,med,neuro,nursing,pharmaco_toxic,astro_physics,psych,social,vet,dentistry,health
21100368214,IJAL,Indonesian Journal of Applied Linguistics,23019468,,Active,2012-ongoing,ENG,0.10,0.128,0.187,0.05,0.119,0.072,0.19,0.167,0.301,,DOAJ/ROAD Open Access,,,Journal,,,,,,Indonesia University of Education,UPI,Indonesia University of Education,Indonesia,3310; 1203;,,Social Sciences,,,,,Arts and Humanities,,,,,,,,,,,,,,,,,,,,,Social Sciences,,,
21100223536,IJC,Indonesian Journal of Chemistry,14119420,,Active,2012-ongoing,ENG,0.34,0.179,0.361,0.5,0.182,0.534,0.7,0.209,0.756,,DOAJ/ROAD Open Access,,,Journal,,,,,,Gadjah Mada University,UGM,Gadjah Mada University,Indonesia,1600;,,,Physical Sciences,,,,,,,,Chemistry,,,,,,,,,,,,,,,,,,,,
21100799500,IJEECS,Indonesian Journal of Electrical Engineering and Computer Science,25024752,25024760,Active,2016-ongoing,ENG,0.00,0,0,0,0,0,0.51,0.182,0.417,,,,,Journal,,,,,,Institute of Advanced Engineering and Science (IAES),IAES,Institute of Advanced Engineering and Science (IAES),Indonesia,2208; 2606; 1705; 1708; 1710; 1711;,,,Physical Sciences,,,,,,,,,Computer Science,,,,,Engineering,,,,Mathematics,,,,,,,,,,
21100826383,IJEEI,Indonesian Journal of Electrical Engineering and Informatics,,20893272,Active,2017-ongoing,ENG,0.00,0,0,0,0,0,0,0,0,,,,Added,Journal,,,,,,Institute of Advanced Engineering and Science (IAES),IAES,Institute of Advanced Engineering and Science (IAES),Indonesia,2208; 1702; 2606; 1705; 1708; 1710; 2207; 1701;,,,Physical Sciences,,,,,,,,,Computer Science,,,,,Engineering,,,,Mathematics,,,,,,,,,,
29186,IJG,Indonesian Journal of Geography,00249521,,Active,"2015-ongoing, 1994-1997, 1990-1992, 1986-1987, 1976-1984",ENG,0.00,0,0,0.09,0.142,0.026,0.51,0.217,0.653,,DOAJ/ROAD Open Access,,,Journal,,,,,,Gadjah Mada University,UGM,Gadjah Mada University,Indonesia,3305;,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences,,,
21100843365,IJIMS,Indonesian Journal of Islam and Muslim Societies,20891490,2406825X,Active,2017-ongoing,ENG,0.00,0,0,0,0,0,0,0,0,,,,Added,Journal,,,,,,State Institute of Islamic Studies (IAIN) Salatiga,IAIN_S,State Institute of Islamic Studies (IAIN) Salatiga,Indonesia,3312; 1212;,,Social Sciences,,,,,Arts and Humanities,,,,,,,,,,,,,,,,,,,,,Social Sciences,,,
21100847442,IJOG,Indonesian Journal on Geoscience,23559314,23559306,Active,2014-ongoing,ENG,0.00,0.13,0.046,0,0.17,0.153,0.29,0.133,1.074,,,,Added,Journal,,,,,,Geological Agency,BG,Geological Agency,Indonesia,1900;,,,Physical Sciences,,,,,,,,,,,Earth and Planetary Sciences,,,,,,,,,,,,,,,,,
21100373959,IJECE,International Journal of Electrical and Computer Engineering,,20888708,Active,2014-ongoing,,0.37,0.156,0.276,1.22,0.264,1.117,0.99,0.296,1.001,,,,,Journal,,,,,,Institute of Advanced Engineering and Science (IAES),IA,Institute of Advanced Engineering and Science (IAES),Indonesia,2208; 1700;,,,Physical Sciences,,,,,,,,,Computer Science,,,,,Engineering,,,,,,,,,,,,,,
21100258382,IJPEDS,International Journal of Power Electronics and Drive Systems,20888694,,Active,2011-ongoing,ENG,0.96,0.214,1.271,1.08,0.235,1.085,0.91,0.217,0.838,,,,,Journal,,,,,,Institute of Advanced Engineering and Science (IAES),IA,Institute of Advanced Engineering and Science (IAES),Indonesia,2208; 2102;,,,Physical Sciences,,,,,,,,,,,,,Energy,Engineering,,,,,,,,,,,,,,
21100235612,IJT,International Journal of Technology,20869614,,Active,2010-ongoing,ENG,0.17,0.131,0.356,0.21,0.137,0.291,0.65,0.261,0.818,,DOAJ/ROAD Open Access,,,Journal,,,,,,Faculty of Engineering Universitas Indonesia,UI,Faculty of Engineering Universitas Indonesia,Indonesia,1405; 1408; 2200;,,Social Sciences,Physical Sciences,,,,,,"Business, Management and Accounting",,,,,,,,Engineering,,,,,,,,,,,,,,
21100463068,IJASEIT,"International Journal on Advanced Science, Engineering and Information Technology",20885334,24606952,Active,2015-ongoing,ENG,0.00,0,0,0.09,0.121,0.093,1.31,0.242,0.43,,DOAJ/ROAD Open Access,,,Journal,,,,,,INSIGHT - Indonesian Society for Knowledge and Human Development,INSIGHT,INSIGHT - Indonesian Society for Knowledge and Human Development,Indonesia,2200; 1100; 1700;,Life Sciences,,Physical Sciences,,,Agricultural and Biological Sciences,,,,,,Computer Science,,,,,Engineering,,,,,,,,,,,,,,
21100198706,ITB_IJEEI,International Journal on Electrical Engineering and Informatics,20856830,,Active,2009-ongoing,ENG,0.53,0.197,0.454,0.68,0.173,0.569,0.88,0.183,0.449,,DOAJ/ROAD Open Access,,,Journal,,,,,,"The School of Electrical Engineering and Informatics, Institut Teknologi Bandung",ITB,"The School of Electrical Engineering and Informatics, Institut Teknologi Bandung",Indonesia,2200;,,,Physical Sciences,,,,,,,,,,,,,,Engineering,,,,,,,,,,,,,,
19200156702,ITB_JES,ITB Journal of Engineering Science,19783051,,Inactive,2009-2012,,0.00,0,0,0,0,0,0,0,0,,,,,Journal,,,,,,Institut Teknologi Bandung (ITB),ITB,Institut Teknologi Bandung (ITB),Indonesia,2200;,,,Physical Sciences,,,,,,,,,,,,,,Engineering,,,,,,,,,,,,,,
