Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Liu-Zeng, J., Wen, L., Oskin, M., Zeng, L.","12799261600;57203304143;6603767024;9233489500;","Focused modern denudation of the Longmen Shan margin, eastern Tibetan Plateau",2011,"Geochemistry, Geophysics, Geosystems","12","11", Q11007,"","",,33,"10.1029/2011GC003652","https://www.scopus.com/inward/record.uri?eid=2-s2.0-81255144763&doi=10.1029%2f2011GC003652&partnerID=40&md5=af40d1dfff5f8da95c6d01f0f144cb1a",Article,Open Access,Scopus,2-s2.0-81255144763
"Reijers, T.J.A.","6602142842;","Stratigraphy and sedimentology of the niger delta",2011,"Geologos","17","3",,"133","162",,33,"10.2478/v10118-011-0008-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054006112&doi=10.2478%2fv10118-011-0008-3&partnerID=40&md5=86e7d33151a3d8aad0d2f936192632fc",Article,Open Access,Scopus,2-s2.0-80054006112
"Dumont, T., Simon-Labric, T., Authemayou, C., Heymes, T.","6603863609;26423351400;8324617400;26422924500;","Lateral termination of the north-directed Alpine orogeny and onset of westward escape in the Western Alpine arc: Structural and sedimentary evidence from the external zone",2011,"Tectonics","30","5", TC5006,"","",,33,"10.1029/2010TC002836","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053363500&doi=10.1029%2f2010TC002836&partnerID=40&md5=be56426b8a8c7e1009aeee80103995de",Article,Open Access,Scopus,2-s2.0-80053363500
"Geersen, J., Behrmann, J.H., Völker, D., Krastel, S., Ranero, C.R., Diaz-Naveas, J., Weinrebe, W.","37055988600;7004258289;7003747667;6603421891;7004552588;8073593200;6701507941;","Active tectonics of the South Chilean marine fore arc (35S-40S)",2011,"Tectonics","30","3", TC3006,"","",,33,"10.1029/2010TC002777","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958808106&doi=10.1029%2f2010TC002777&partnerID=40&md5=97f5ceba37cb9fd76b411cad7c2a8dc2",Article,Open Access,Scopus,2-s2.0-79958808106
"Bollmann, A., Palumbo, A.V., Lewis, K., Epstein, S.S.","57204264101;7103361924;56742376800;57203051647;","Isolation and physiology of bacteria from contaminated subsurface sediments",2010,"Applied and Environmental Microbiology","76","22",,"7413","7419",,33,"10.1128/AEM.00376-10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649706964&doi=10.1128%2fAEM.00376-10&partnerID=40&md5=8e861d697df9dd722cb430c314a94642",Article,Open Access,Scopus,2-s2.0-78649706964
"Jian, Y., Yajuan, Y., Jinliang, D.","36342521300;36342918300;49061154700;","Sedimentation during the transgression period in Late Triassic Yanchang Formation, Ordos Basin",2010,"Petroleum Exploration and Development","37","2",,"181","187",,33,"10.1016/S1876-3804(10)60025-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952129029&doi=10.1016%2fS1876-3804%2810%2960025-0&partnerID=40&md5=cc5f78c166cbf8c7f393213025973703",Article,Open Access,Scopus,2-s2.0-77952129029
"De Weert, J., Viñas, M., Grotenhuis, T., Rijnaarts, H., Langenhoff, A.","6602454844;11739655600;56365234500;6602198441;6603270609;","Aerobic nonylphenol degradation and nitro-nonylphenol formation by microbial cultures from sediments",2010,"Applied Microbiology and Biotechnology","86","2",,"761","771",,33,"10.1007/s00253-009-2394-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77249127847&doi=10.1007%2fs00253-009-2394-9&partnerID=40&md5=6410608abfc4c75e24f095fd1d6d82b3",Article,Open Access,Scopus,2-s2.0-77249127847
"Pedocchi, F., García, M.H.","8690188800;35577734800;","Ripple morphology under oscillatory flow: 1. Prediction",2009,"Journal of Geophysical Research: Oceans","114","12", C12014,"","",,33,"10.1029/2009JC005354","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949419120&doi=10.1029%2f2009JC005354&partnerID=40&md5=43bb5125399e87328228aca0e7edcac3",Article,Open Access,Scopus,2-s2.0-77949419120
"Setti, I., Rodriguez-Castro, A., Pata, M.P., Cadarso-Suarez, C., Yacoubi, B., Bensmael, L., Moukrim, A., Martinez-Urtaza, J.","35801302500;35238165100;35801357900;55894341600;6507134467;35800948300;15824242400;6603000100;","Characteristics and dynamics of Salmonella contamination along the coast of agadir, Morocco",2009,"Applied and Environmental Microbiology","75","24",,"7700","7709",,33,"10.1128/AEM.01852-09","https://www.scopus.com/inward/record.uri?eid=2-s2.0-73249137512&doi=10.1128%2fAEM.01852-09&partnerID=40&md5=e73c856b0cde3c1a9041cd8f9cebb139",Article,Open Access,Scopus,2-s2.0-73249137512
"Chu, G., Sun, Q., Wang, X., Li, D., Rioual, P., Qiang, L., Han, J., Liu, J.","7101874900;35273588400;25228154100;36068588000;8527047600;55619786200;23489006900;27169674300;","A 1600 year multiproxy record of paleoclimatic change from varved sediments in Lake Xiaolongwan, northeastern China",2009,"Journal of Geophysical Research Atmospheres","114","22", D22108,"","",,33,"10.1029/2009JD012077","https://www.scopus.com/inward/record.uri?eid=2-s2.0-72049130814&doi=10.1029%2f2009JD012077&partnerID=40&md5=263dfc2508a8853d6b390312e9ea14ef",Article,Open Access,Scopus,2-s2.0-72049130814
