Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Yakovlev, F.L., Gorbatov, E.S.","15761651700;57200762403;","The first experience in diagnosing the geodynamic mechanisms of folding by the factor analysis of folded structure parameters (Greater Caucasus)",2017,"Geodynamics and Tectonophysics","8","4",,"999","1019",,1,"10.5800/GT-2017-8-4-0329","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042386175&doi=10.5800%2fGT-2017-8-4-0329&partnerID=40&md5=272c7af16c0efa3e87ba7ef21c44c8a7",Article,Open Access,Scopus,2-s2.0-85042386175
"Glazner, A.F., Sadler, P.M.","7004848478;7103024463;","Estimating the duration of geologic intervals from a small number of age determinations: A challenge common to petrology and paleobiology",2016,"Geochemistry, Geophysics, Geosystems","17","12",,"4892","4898",,1,"10.1002/2016GC006542","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007305352&doi=10.1002%2f2016GC006542&partnerID=40&md5=0aaa1cc3659e3f600d681b2912c219f1",Article,Open Access,Scopus,2-s2.0-85007305352
"Christeson, G.L., Morgan, S., Kodaira, S., Yamashita, M., Almeev, R.R., Michibayashi, K., Sakuyama, T., Ferré, E.C., Kurz, W.","6701635850;36984340300;57203053095;7403597775;23096944200;6602598088;26538044500;6701709729;56274876900;","Physical properties and seismic structure of Izu-Bonin-Mariana fore-arc crust: Results from IODP Expedition 352 and comparison with oceanic crust",2016,"Geochemistry, Geophysics, Geosystems","17","12",,"4973","4991",,1,"10.1002/2016GC006638","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007099377&doi=10.1002%2f2016GC006638&partnerID=40&md5=188638c14bfae2a6ac3d6d19818e717d",Article,Open Access,Scopus,2-s2.0-85007099377
"Sim, S.J., Stegman, D.R., Coltice, N.","57192201554;57203457049;6603188117;","Influence of continental growth on mid-ocean ridge depth",2016,"Geochemistry, Geophysics, Geosystems","17","11",,"4425","4437",,1,"10.1002/2016GC006629","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000866207&doi=10.1002%2f2016GC006629&partnerID=40&md5=3ac4c235c3a65925dcc6fa667998fb5c",Article,Open Access,Scopus,2-s2.0-85000866207
"Dañobeitia, J., Bartolomé, R., Prada, M., Nuñez-Cornú, F., Córdoba, D., Bandy, W.L., Estrada, F., Cameselle, A.L., Nuñez, D., Castellón, A., Alonso, J.L., Mortera, C., Ortiz, M.","55401706700;6701911408;55556878300;6603213335;7004338471;35614673400;7004011811;55914708700;57055242200;6602666430;57191491663;57056112900;7202127421;","Crustal Architecture at the Collision Zone Between Rivera and North American Plates at the Jalisco Block: Tsujal Project",2016,"Pure and Applied Geophysics","173","10-11",,"3553","3573",,1,"10.1007/s00024-016-1388-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990922605&doi=10.1007%2fs00024-016-1388-7&partnerID=40&md5=62a565898353ce1e75b21d99036e467b",Article,Open Access,Scopus,2-s2.0-84990922605
"Milano, M., Fedi, M., Fairhead, J.D.","57191034115;56212597600;7003429787;","The deep crust beneath the Trans-European Suture Zone from a multiscale magnetic model",2016,"Journal of Geophysical Research: Solid Earth","121","9",,"6276","6292",,1,"10.1002/2016JB012955","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985898359&doi=10.1002%2f2016JB012955&partnerID=40&md5=58f2bec8649f01c3d1d7bddbd253fb51",Article,Open Access,Scopus,2-s2.0-84985898359
"Bensalem, M.S., Amamria, S., Ghanmi, M., Zargouni, F.","35789716100;54400023000;6603319945;6603229345;","Kinematic evolution and quantification of deformation in external orogenic zones: A case study from the Tunisian Atlas",2016,"Geologica Carpathica","67","4",,"391","401",,1,"10.1515/geoca-2016-0024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988924329&doi=10.1515%2fgeoca-2016-0024&partnerID=40&md5=0d9042194425c3c88ff944b3fe4841cd",Article,Open Access,Scopus,2-s2.0-84988924329
"Saikia, S., Chopra, S., Baruah, S., Baidya, P.R., Singh, U.K.","56072289700;25521301600;29067564500;8686578200;7402544264;","Crustal imaging of the Northwest Himalaya and its foredeep region from teleseismic events",2016,"Geomatics, Natural Hazards and Risk","7","4",,"1265","1286",,1,"10.1080/19475705.2015.1063095","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941255007&doi=10.1080%2f19475705.2015.1063095&partnerID=40&md5=6603ce438db21164a1bc9ebbd75d53a1",Article,Open Access,Scopus,2-s2.0-84941255007
"Martinez-Landa, L., Carrera, J., Pérez-Estaún, A., Gomez, P., Bajos, C.","8570323700;57191973973;7004656512;7102044608;6508389830;","Structural geology and geophysics as a support to build a hydrogeologic model of granite rock",2016,"Solid Earth","7","3",,"881","895",,1,"10.5194/se-7-881-2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973561986&doi=10.5194%2fse-7-881-2016&partnerID=40&md5=c1de07917f055e231e7e3e4605fd1161",Article,Open Access,Scopus,2-s2.0-84973561986
"Schmidt, M.E., Schrader, C.M., Crumpler, L.S., Rowe, M.C., Wolff, J.A., Boroughs, S.P.","24451065500;36613708400;16303360800;25723660200;7401804837;8958094900;","Megacrystic pyroxene basalts sample deep crustal gabbroic cumulates beneath the Mount Taylor volcanic field, New Mexico",2016,"Journal of Volcanology and Geothermal Research","316",,,"1","11",,1,"10.1016/j.jvolgeores.2016.02.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960353977&doi=10.1016%2fj.jvolgeores.2016.02.020&partnerID=40&md5=303169930b51b12039f1322bc9b44916",Article,Open Access,Scopus,2-s2.0-84960353977
