Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Hurley, I.A., Mueller, R.L., Dunn, K.A., Schmidt, E.J., Friedman, M., Ho, R.K., Prince, V.E., Yang, Z., Thomas, M.G., Coates, M.I.","6603778986;8881490600;35268477500;16433023000;12809694700;7201453487;7004633668;8148132700;8606206600;7101600531;","A new time-scale for ray-finned fish evolution",2007,"Proceedings of the Royal Society B: Biological Sciences","274","1609",,"489","498",,195,"10.1098/rspb.2006.3749","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34249943401&doi=10.1098%2frspb.2006.3749&partnerID=40&md5=47e634ddcd313dca864fd801a4e357d8",Article,Open Access,Scopus,2-s2.0-34249943401
"Drake, N.A., Blench, R.M., Armitage, S.J., Bristow, C.S., White, K.H.","7003403258;55363507500;7005470174;57204254762;7402809831;","Ancient watercourses and biogeography of the Sahara explain the peopling of the desert.",2011,"Proceedings of the National Academy of Sciences of the United States of America","108","2",,"458","462",,186,"10.1073/pnas.1012231108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952271167&doi=10.1073%2fpnas.1012231108&partnerID=40&md5=1dda06c8bdcc8c2228019648b1bd6987",Article,Open Access,Scopus,2-s2.0-79952271167
"Peppe, D.J., Royer, D.L., Cariglino, B., Oliver, S.Y., Newman, S., Leight, E., Enikolopov, G., Fernandez-Burgos, M., Herrera, F., Adams, J.M., Correa, E., Currano, E.D., Erickson, J.M., Hinojosa, L.F., Hoganson, J.W., Iglesias, A., Jaramillo, C.A., Johnson, K.R., Jordan, G.J., Kraft, N.J.B., Lovelock, E.C., Lusk, C.H., Niinemets, U., Peñuelas, J., Rapson, G., Wing, S.L., Wright, I.J.","16314264500;7006237834;22978414500;48761749400;48761952200;48761556600;48761319000;37064482500;24480882000;55446772900;35725239900;23984269000;7201961535;6602876518;6506539802;16039209200;7005412166;7405970614;7202856568;18434144800;23985779200;7003520808;56186457800;7006747772;6603370775;7103353518;7202889349;","Sensitivity of leaf size and shape to climate: Global patterns and paleoclimatic applications",2011,"New Phytologist","190","3",,"724","739",,185,"10.1111/j.1469-8137.2010.03615.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79954600329&doi=10.1111%2fj.1469-8137.2010.03615.x&partnerID=40&md5=05f6c04ab7da7d396c46586618b3ed26",Article,Open Access,Scopus,2-s2.0-79954600329
"Brown, J.W., Rest, J.S., García-Moreno, J., Sorenson, M.D., Mindell, D.P.","36599840100;7005900421;35607003400;7006005330;7003464307;","Strong mitochondrial DNA support for a cretaceous origin of modern avian lineages",2008,"BMC Biology","6",, 6,"","",,180,"10.1186/1741-7007-6-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-41049092682&doi=10.1186%2f1741-7007-6-6&partnerID=40&md5=87069ef4b1144b3b8e5472008b4341d7",Article,Open Access,Scopus,2-s2.0-41049092682
"Cohen, A.S., Stone, J.R., Beuning, K.R.M., Park, L.E., Reinthal, P.N., Dettman, D., Scholz, C.A., Johnson, T.C., King, J.W., Talbot, M.R., Brown, E.T., Ivory, S.J.","7404780058;7403061703;6602161422;7101999899;6602265699;6603880354;7102863853;7404018791;7404245057;7103175200;35566488900;23027759800;","Ecological consequences of early Late Pleistocene megadroughts in tropical Africa",2007,"Proceedings of the National Academy of Sciences of the United States of America","104","42",,"16422","16427",,170,"10.1073/pnas.0703873104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-36749048665&doi=10.1073%2fpnas.0703873104&partnerID=40&md5=2e9131dff963f3d73fc1c8791217de95",Article,Open Access,Scopus,2-s2.0-36749048665
"Bloch, J.I., Silcox, M.T., Boyer, D.M., Sargis, E.J.","7103094874;6602121019;9237630100;6602668617;","New Paleocene skeletons and the relationship of plesiadapiforms to crown-clade primates",2007,"Proceedings of the National Academy of Sciences of the United States of America","104","4",,"1159","1164",,165,"10.1073/pnas.0610579104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846630522&doi=10.1073%2fpnas.0610579104&partnerID=40&md5=1a93182fa42184cc3e91955971306e51",Article,Open Access,Scopus,2-s2.0-33846630522
"Ho, S.Y.W., Saarma, U., Barnett, R., Haile, J., Shapiro, B.","7403716888;6508125252;36776853100;35503255600;57203198603;","The effect of inappropriate calibration: Three case studies in molecular ecology",2008,"PLoS ONE","3","2", e1615,"","",,159,"10.1371/journal.pone.0001615","https://www.scopus.com/inward/record.uri?eid=2-s2.0-45449120082&doi=10.1371%2fjournal.pone.0001615&partnerID=40&md5=c93384952bca9ec3e5963cb4bc480a64",Article,Open Access,Scopus,2-s2.0-45449120082
"Strait, D.S., Weber, G.W., Neubauer, S., Chalk, J., Richmond, B.G., Lucas, P.W., Spencer, M.A., Schrein, C., Dechow, P.C., Ross, C.F., Grosse, I.R., Wright, B.W., Constantino, P., Wood, B.A., Lawn, B., Hylander, W.L., Wang, Q., Byron, C., Slice, D.E., Smith, A.L.","6602753762;7402213147;7102853256;26030243500;7006651844;7202397192;36117180600;12776130200;7004134347;7402593882;7005946636;8628497500;16400885800;7401873883;7102574475;7004271202;55698305700;6603047254;6603334019;56128141400;","The feeding biomechanics and dietary ecology of Australopithecus africanus",2009,"Proceedings of the National Academy of Sciences of the United States of America","106","7",,"2124","2129",,157,"10.1073/pnas.0808730106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-60549109629&doi=10.1073%2fpnas.0808730106&partnerID=40&md5=6892f6e5953387625a186a0ee9575bb4",Article,Open Access,Scopus,2-s2.0-60549109629
"Sawyer, S., Krause, J., Guschanski, K., Savolainen, V., Pääbo, S.","54881795300;8765526800;25649727700;7006741560;7006151134;","Temporal patterns of nucleotide misincorporations and DNA fragmentation in ancient DNA",2012,"PLoS ONE","7","3", e34131,"","",,153,"10.1371/journal.pone.0034131","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859112401&doi=10.1371%2fjournal.pone.0034131&partnerID=40&md5=06aca0bd1e7eea9cafbc6ba8414be4c9",Article,Open Access,Scopus,2-s2.0-84859112401
"Hunt, G.","8502893500;","The relative importance of directional change, random walks, and stasis in the evolution of fossil lineages",2007,"Proceedings of the National Academy of Sciences of the United States of America","104","47",,"18404","18408",,145,"10.1073/pnas.0704088104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-36749102083&doi=10.1073%2fpnas.0704088104&partnerID=40&md5=b6d37d3d3ce2ad534a92308bb4e0c102",Article,Open Access,Scopus,2-s2.0-36749102083
